15:34:49 | Alertas=['MEDIUM_LATENCY'] | Latency=78.61495018005371 | Traffic=16
15:34:51 | Alertas=['MEDIUM_LATENCY'] | Latency=77.44479179382324 | Traffic=2
15:34:54 | Alertas=['MEDIUM_LATENCY'] | Latency=78.9182186126709 | Traffic=3
15:34:56 | Alertas=['MEDIUM_LATENCY'] | Latency=83.08863639831543 | Traffic=13
15:34:58 | Alertas=['MEDIUM_LATENCY'] | Latency=81.2225341796875 | Traffic=11
15:35:00 | Alertas=[] | Latency=66.41459465026855 | Traffic=2
15:35:03 | Alertas=[] | Latency=67.77167320251465 | Traffic=3
15:35:05 | Alertas=['MEDIUM_LATENCY'] | Latency=80.35397529602051 | Traffic=16
15:35:07 | Alertas=['MEDIUM_LATENCY'] | Latency=71.81048393249512 | Traffic=3
15:35:09 | Alertas=['MEDIUM_LATENCY'] | Latency=74.1264820098877 | Traffic=1
15:35:11 | Alertas=['MEDIUM_LATENCY'] | Latency=78.63807678222656 | Traffic=36
15:35:13 | Alertas=['MEDIUM_LATENCY'] | Latency=77.66151428222656 | Traffic=13
15:35:16 | Alertas=[] | Latency=68.02558898925781 | Traffic=2
15:35:18 | Alertas=['MEDIUM_LATENCY'] | Latency=83.42719078063965 | Traffic=32
15:35:20 | Alertas=['MEDIUM_LATENCY'] | Latency=79.50282096862793 | Traffic=2
15:35:22 | Alertas=['MEDIUM_LATENCY'] | Latency=79.06007766723633 | Traffic=23
15:35:25 | Alertas=['MEDIUM_LATENCY'] | Latency=81.39681816101074 | Traffic=5
15:35:27 | Alertas=['MEDIUM_LATENCY'] | Latency=80.90806007385254 | Traffic=5
15:35:29 | Alertas=['MEDIUM_LATENCY'] | Latency=77.33154296875 | Traffic=12
15:35:31 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=78.22871208190918 | Traffic=60
15:35:33 | Alertas=['HIGH_TRAFFIC'] | Latency=66.50829315185547 | Traffic=110
15:35:36 | Alertas=['MEDIUM_LATENCY'] | Latency=85.25466918945312 | Traffic=48
15:35:38 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=77.83937454223633 | Traffic=71
15:35:40 | Alertas=['MEDIUM_TRAFFIC'] | Latency=65.87028503417969 | Traffic=68
15:35:42 | Alertas=['MEDIUM_LATENCY'] | Latency=85.75224876403809 | Traffic=42
15:35:44 | Alertas=['MEDIUM_LATENCY'] | Latency=81.58254623413086 | Traffic=34
15:35:47 | Alertas=['MEDIUM_TRAFFIC'] | Latency=66.69139862060547 | Traffic=54
15:35:49 | Alertas=['MEDIUM_LATENCY'] | Latency=81.89845085144043 | Traffic=3
15:35:51 | Alertas=['MEDIUM_LATENCY'] | Latency=78.4001350402832 | Traffic=44
15:35:54 | Alertas=['HOST_OFFLINE'] | Latency=None | Traffic=2
15:35:57 | Alertas=['MEDIUM_LATENCY'] | Latency=78.27591896057129 | Traffic=4
15:35:59 | Alertas=[] | Latency=68.06731224060059 | Traffic=4
15:36:01 | Alertas=['MEDIUM_LATENCY'] | Latency=77.95476913452148 | Traffic=4
15:36:03 | Alertas=['MEDIUM_LATENCY'] | Latency=79.66804504394531 | Traffic=4
15:36:06 | Alertas=['MEDIUM_LATENCY'] | Latency=78.62496376037598 | Traffic=1
15:36:08 | Alertas=['MEDIUM_LATENCY'] | Latency=83.77575874328613 | Traffic=14
15:36:10 | Alertas=['MEDIUM_LATENCY'] | Latency=77.66079902648926 | Traffic=13
15:36:12 | Alertas=['MEDIUM_LATENCY'] | Latency=82.31663703918457 | Traffic=14
15:36:14 | Alertas=['MEDIUM_LATENCY'] | Latency=78.72915267944336 | Traffic=3
